Name,College,POS,Height (in),Weight (lbs),40 Yrd Dash,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Drafted?
Jamie Collins,Southern Mississippi,OLB,76,250,4.64,19,41.5,139,4.32,7.1,1
Jonathan Cooper,North Carolina,OG,74,311,5.07,35,27,108,4.84,7.78,1
Knile Davis,Arkansas,RB,71,227,4.37,31,33.5,121,4.38,6.96,1
Will Davis,Utah State,CB,71,186,4.51,16,35.5,127,4.02,6.52,1
Everett Dawkins,Florida State,DT,74,292,5.06,23,30,103,4.88,7.61,1
Jordan Devey,Memphis,OT,79,317,5.25,21,24,98,4.77,7.91,0
Mike Edwards,Hawaii,CB,69,189,4.56,14,36,124,4.18,6.94,0
Tyler Eifert,Notre Dame,TE,78,250,4.68,22,35.5,119,4.32,6.92,1
Zach Ertz,Stanford,TE,78,249,4.76,24,30.5,111,4.47,7.08,1
Eric Fisher,Central Michigan,OT,79,306,5.05,27,28.5,116,4.44,7.59,1
Manase Foketi,West Texas AM,OT,77,318,5.3,25,23.5,102,5.06,8.11,0
Michael Ford,LSU,RB,70,210,4.5,25,38.5,130,4.25,6.87,0
Reid Fragel,Ohio State,OT,80,308,5.14,33,30,113,4.68,7.62,1
Johnathan Franklin,UCLA,RB,70,205,4.49,18,31.5,115,4.31,6.89,1
Travis Frederick,Wisconsin,C,76,312,5.58,21,28.5,97,4.76,7.81,1
Matt Furstenburg,Maryland,TE,75,242,4.62,18,35.5,115,4.35,7.09,0
William Gholston,Michigan State,DE,78,281,4.96,23,28.5,110,4.59,7.2,1
Garrett Gilkey,Chadron State,OG,78,318,5.33,28,30,108,4.75,7.65,1
Mike Gillislee,Florida,RB,71,208,4.55,15,30.5,119,4.4,7.12,1
Tyrone Goard,Eastern Kentucky,WR,76,205,4.5,10,36,123,4.39,6.9,0
Zaviar Gooden,Missouri,OLB,74,234,4.47,27,34,131,4.18,6.71,1
Chris Gragg,Arkansas,TE,75,244,4.5,18,37.5,125,4.51,7.08,1
Ray Graham,Pittsburgh,RB,69,199,4.8,18,32.5,112,4.21,7.17,0
Dwayne Gratz,Connecticut,CB,71,201,4.47,22,38,125,4.15,6.7,1
MarQueis Gray,Minnesota,TE,75,240,4.73,15,30,111,4.3,7.25,0
Khaseem Greene,Rutgers,OLB,73,241,4.71,17,30,116,4.2,7.58,1
Cory Grissom,South Florida,DT,73,306,5.31,22,27.5,97,4.81,7.79,0
Chris Harper,Kansas State,WR,73,229,4.55,20,35.5,116,4.39,6.89,1
D.J. Harper,Boise State,RB,69,211,4.52,23,33.5,120,4.35,7.07,0
Montel Harris,Temple,RB,68,208,4.68,19,32.5,113,4.18,6.95,0
Mark Harrison,Rutgers,WR,75,231,4.46,17,38.5,129,4.33,6.99,0
Brandon Hepburn,Florida A&M,ILB,75,240,4.68,21,32,124,4.55,7.4,1
Eric Herman,Ohio,OG,76,320,5.25,36,28,95,5.09,7.99,1
Jordan Hill,Penn State,DT,73,303,5.23,28,22.5,103,4.51,7.49,1
DeVonte Holloman,South Carolina,OLB,73,243,4.76,15,33,113,4.26,7.3,1
Montori Hughes,Tennessee-Martin,DT,76,329,5.23,22,26.5,104,4.7,7.85,1
Margus Hunt,Southern Methodist,DE,80,277,4.62,38,34.5,121,4.51,7.07,1
Micah Hyde,Iowa,CB,73,197,4.56,12,33,121,4.2,6.78,1
Mark Jackson,Glenville State,OG,77,328,5.65,20,20.5,91,5.03,8.07,0
Stefphon Jefferson,Nevada,RB,71,213,4.68,15,31,117,4.44,6.97,0
Luke Joeckel,Texas A&M,OT,78,306,5.3,27,28.5,106,4.68,7.4,1
Josh Johnson,Purdue,CB,69,199,4.65,16,35,114,4.25,6.99,0
Keelan Johnson,Arizona State,SS,73,209,4.54,12,36.5,125,4.07,6.77,0
Lane Johnson,Oklahoma,OT,78,303,4.72,28,34,118,4.52,7.31,1
T.J. Johnson,South Carolina,C,76,310,5.33,32,25.5,96,4.74,7.83,0
Jamaal Johnson-Webb,Alabama AM,OG,77,313,5.37,17,23,92,4.74,8.12,0
Datone Jones,UCLA,DE,76,283,4.8,29,31.5,112,4.32,7.32,1
Brandon Kaufman,Eastern Washington,WR,77,216,4.67,9,33.5,115,4.44,7.11,0
Tavarres King,Georgia,WR,73,189,4.47,11,36.5,123,4.33,6.91,1
Joe Kruger,Utah,DE,78,269,4.83,24,34,117,4.46,7.17,1
Edmond Kugbila,Valdosta State,OG,76,317,5.31,23,22.2,105,4.65,7.72,0
Alec Lemon,Syracuse,WR,73,202,4.59,7,32,112,4.29,7.04,0
Corey Lemonier,Auburn,DE,75,255,4.6,27,33,119,4.4,7.14,1
Bennie Logan,LSU,DT,74,309,5.08,30,25,104,4.67,7.53,1
John Lotulelei,UNLV,OLB,71,233,4.84,25,35.5,117,4.3,6.91,0
Philip Lutzenkirchen,Auburn,TE,75,258,4.94,21,30.5,112,4.35,7.15,0
Joe Madsen,West Virginia,C,76,310,5.2,25,25,98,4.83,7.6,0
Lamar Mady,Youngstown State (OH),OG,74,317,5.48,35,23,95,4.82,8.07,0
Tyrann Mathieu,LSU,CB,69,186,4.5,4,34,117,4.14,6.87,1
Demetrius McCray,Appalachian State (NC),CB,73,187,4.54,4,36,126,4.32,7.17,1
T.J. McDonald,Southern California,FS,75,219,4.59,19,40,131,4.2,6.89,1
Vance McDonald,Rice,TE,76,267,4.69,31,33.5,119,4.53,7.08,1
Bradley McDougald,Kansas,FS,73,215,4.74,19,34.5,122,4.44,7.07,0
Leon McFadden,San Diego State,CB,70,193,4.54,10,34.5,119,4.27,6.81,1
Brandon McGee,Miami,CB,71,193,4.4,14,33.5,119,4.18,6.71,1
Aaron Mellette,Elon,WR,75,217,4.54,9,33.5,123,4.41,7.11,1
Christine Michael,Texas A&M,RB,70,220,4.54,27,43,125,4.02,6.69,1
Jordan Mills,Louisiana Tech,OT,77,316,5.37,20,28.5,101,4.88,8.1,1
T.J. Moe,Missouri,WR,73,204,4.74,26,36,120,3.96,6.53,0
Sio Moore,Connecticut,OLB,73,245,4.65,29,38,127,4.31,7.49,1
Zeke Motta,Notre Dame,FS,74,213,4.83,11,35.5,126,4.16,6.75,1
Alec Ogletree,Georgia,OLB,75,242,4.7,20,33.5,122,4.39,7.16,1
Vinston Painter,Virginia Tech,OT,76,306,4.95,32,30.5,97,4.56,7.71,1
Chris Pantale,Boston College,TE,77,254,4.99,17,33.5,110,4.5,7.48,0
Quinton Patton,Louisiana Tech,WR,73,204,4.53,8,33,118,4.01,6.91,1
Keith Pough,Howard,OLB,74,239,4.9,17,33,118,4.47,7.28,0
Ty Powell,Harding,OLB,74,249,4.64,28,37,122,4.4,6.98,1
Jordan Poyer,Oregon State,CB,73,191,4.54,8,30.5,118,4.18,6.87,1
Lonnie Pryor,Florida State,FB,71,227,4.7,17,30,114,4.55,7.28,0
David Quessenberry,San Jose State,OT,77,302,5.08,25,29.5,112,4.45,7.49,1
Eric Reid,LSU,FS,73,213,4.53,17,40.5,134,4.22,6.99,1
Mychal Rivera,Tennessee,TE,75,242,4.81,17,31,112,4.43,7.17,1
Nickell Robey,Southern California,CB,67,169,4.53,10,37.5,127,4.09,6.74,0
DaRick Rogers,Tennessee Tech,WR,75,217,4.52,10,39.5,132,4.06,6.71,0
Robbie Rouse,Fresno State,RB,65,190,4.8,15,34,114,4.25,6.97,0
Logan Ryan,Rutgers,CB,71,191,4.56,14,32.5,116,4.06,6.69,1
Lanear Sampson,Baylor,WR,71,204,4.46,20,33.5,119,4.38,7.1,0
Ace Sanders,South Carolina,WR,67,173,4.58,7,32,117,4.37,6.81,1
Brian Schwenke,California,C,75,314,4.99,31,26.5,108,4.74,7.31,1
Dion Sims,Michigan State,TE,77,262,4.75,22,35,112,4.52,7.36,1
Darius Slay,Mississippi State,CB,73,192,4.36,14,35.5,124,4.21,6.9,1
Jared Smith,New Hampshire,DT,75,302,5.08,28,32.5,115,4.39,7.2,1
Ryan Spadola,Lehigh,WR,73,204,4.48,15,33.5,119,4.07,6.72,0
Akeem Spence,Illinois,DT,73,307,5.15,37,30,107,4.72,7.82,1
Zac Stacy,Vanderbilt,RB,68,216,4.55,27,33,122,4.17,6.7,1
Matt Stankiewitch,Penn State,C,75,302,5.43,27,24,92,4.96,7.9,0
Jawanza Starling,Southern California,SS,73,202,4.64,17,36,122,4.32,6.68,0
Jonathan Stewart,Texas A&M,ILB,76,242,4.68,19,31,118,4.53,7.44,0
Jake Stoneburner,Ohio State,TE,75,252,4.65,18,34.5,116,4.27,7.12,0
D.J. Swearinger,South Carolina,FS,71,208,4.67,17,37,124,4.11,6.7,1
Ryan Swope,Texas A&M,WR,73,205,4.34,16,37,125,4.25,6.76,1
Bruce Taylor,Virginia Tech,ILB,73,234,5.01,19,30.5,115,4.39,7.21,0
Devin Taylor,South Carolina,DE,79,266,4.72,14,35,128,4.3,6.89,1
Jamar Taylor,Boise State,CB,71,192,4.39,22,35,127,4.06,6.82,1
Stepfan Taylor,Stanford,RB,69,214,4.76,17,30,110,4.5,7.13,1
Chase Thomas,Stanford,OLB,75,244,4.91,18,32,113,4.31,7.17,0
Kenbrell Thompkins,Cincinnati,WR,73,193,4.54,8,33.5,121,4.21,6.88,0
Levine Toilolo,Stanford,TE,80,260,4.86,17,31,113,4.57,7.09,1
J.C. Tretter,Cornell,OG,76,307,5.09,29,29.5,109,4.69,7.48,0
Kenny Vaccaro,Texas,FS,73,214,4.63,15,38,121,4.06,6.78,1
Ricky Wagner,Wisconsin,OT,78,308,5.17,20,31.5,101,4.91,7.94,1
Larry Warford,Kentucky,OG,75,332,5.58,28,22.5,96,5.1,7.78,1
Earl Watford,James Madison,OG,75,300,5.06,24,30,107,5,7.77,1
Jason Weaver,Southern Mississippi,OT,76,313,5.44,23,21,94,5.07,8.23,0
B.W. Webb,William & Mary,CB,70,184,4.51,14,40.5,132,3.84,6.82,0
Bjoern Werner,Florida State,DE,75,266,4.83,25,31,111,4.4,7.3,1
John Wetzel,Boston College,OT,79,315,5.46,22,25,105,4.81,7.9,0
Markus Wheaton,Oregon State,WR,71,189,4.45,20,37,120,4.02,6.8,1
J.J. Wilcox,Georgia Southern,SS,73,213,4.57,17,35,124,4.09,7.02,1
Brandon Williams,Missouri Southern,DT,73,335,5.37,38,29.5,102,4.91,8.09,1
Kerwynn Williams,Utah State,RB,68,196,4.48,17,35,118,4.15,7.15,1
Nathan Williams,Ohio State,OLB,75,241,4.88,24,35,113,4.44,6.99,0
Nicholas Williams,Samford,DT,77,309,4.94,28,33,111,4.65,7.55,1
Shawn Williams,Georgia,SS,73,213,4.46,25,36,120,4.25,7.01,1
Steve Williams,California,CB,69,181,4.42,12,40.5,128,4.1,6.89,1
Sylvester Williams,North Carolina,DT,75,313,5.03,27,26.5,102,4.8,7.93,1
Terrance Williams,Baylor,WR,74,208,4.52,11,32.5,119,4.32,7.01,1
Marquess Wilson,Washington State,WR,75,194,4.51,7,34.5,122,4.33,6.65,1
Robert Woods,Southern California,WR,73,201,4.51,14,33.5,117,4.47,7.15,1
Khalid Wooten,Nevada,CB,71,210,4.53,17,33.5,117,4.18,6.95,1
Tom Wort,Oklahoma,ILB,73,235,4.78,21,31.5,111,4.51,7.41,0
Blidi Wreh-Wilson,Connecticut,CB,73,195,4.53,14,36,128,4.12,6.97,1
Mike Adams,Ohio State,OT,79,323,5.28,19,28.5,100,4.95,7.94,1
Chas Alecxih,Pittsburgh,DT,76,296,5.31,19,25.5,99,4.62,7.74,0
Antonio Allen,South Carolina,SS,74,210,4.58,17,34,118,4.25,7.02,1
Dwayne Allen,Clemson,TE,75,255,4.85,27,32,110,4.37,7.12,1
Jeff Allen,Illinois,OT,76,307,5.17,26,27.5,102,4.9,8.01,1
Justin Anderson,Georgia,OT,76,335,5.24,32,27,101,4.99,8.04,1
Edwin Baker,Michigan State,RB,68,204,4.44,20,35,111,4.31,7.27,1
Ryan Baker,LSU,OLB,71,232,4.8,30,34,113,4.35,7.21,0
Mike Ball,Nevada,RB,69,206,4.54,21,36,112,4.23,7.1,0
Vick Ballard,Mississippi State,RB,70,219,4.59,23,33,115,4.19,7.03,1
Kelvin Beachum,Southern Methodist,OG,75,303,5.38,19,28.5,101,4.8,7.79,1
Dwight Bentley,Louisiana-Lafayette,CB,70,182,4.42,13,31.5,114,4.5,6.99,1
Tony Bergstrom,Utah,OT,77,313,5.19,32,29.5,101,4.84,7.95,1
Justin Bethel,Presbyterian,FS,73,200,4.52,19,39.5,131,4.3,6.79,1
Philip Blake,Baylor,C,75,311,5.17,22,29.5,105,4.65,7.86,1
Robert Blanton,Notre Dame,CB,73,208,4.66,12,34,116,3.97,6.71,1
Jamie Blatnick,Oklahoma State,DE,75,263,4.81,28,32.5,112,4.2,7.22,0
Brandon Bolden,Mississippi,RB,71,222,4.55,21,38,119,4.44,6.96,0
Jarrett Boykin,Virginia Tech,WR,74,217,4.62,11,36,123,4.28,7.12,0
Nigel Bradham,Florida State,OLB,74,241,4.56,24,37,121,4.37,7.18,1
Andre Branch,Clemson,DE,76,259,4.67,19,32.5,120,4.25,7.19,1
Michael Brewster,Ohio State,C,76,312,5.22,29,25,96,4.6,7.73,0
Charles Brown,North Carolina,CB,69,202,4.53,18,35.5,114,4.06,6.94,1
James Brown,Troy,OG,76,306,5.19,24,25.5,102,4.78,7.7,0
Tank Carder,TCU,ILB,74,236,4.58,19,34.5,121,4.18,6.89,1
Danny Coale,Virginia Tech,WR,73,201,4.42,12,35,115,4.15,6.69,1
Audie Cole,North Carolina State,ILB,76,246,4.76,15,35,114,4.29,6.96,1
Tom Compton,South Dakota,OT,77,314,5.01,20,30,108,4.6,7.59,1
Quinton Coples,North Carolina,DE,78,284,4.69,25,31.5,109,4.78,7.57,1
Fletcher Cox,Mississippi State,DT,76,298,4.77,30,26,103,4.53,7.07,1
Tyrone Crawford,Boise State,DE,76,275,4.82,28,33,113,4.44,7.09,1
Lennon Creer,Louisiana Tech,RB,71,219,4.67,21,33.5,110,4.4,7.26,0
Juron Criner,Arizona,WR,75,224,4.66,17,38,117,4.3,7.15,1
John Cullen,Utah,OT,77,297,5.28,23,27,102,4.59,7.58,0
Lavonte David,Nebraska,OLB,73,233,4.57,19,36.5,119,4.22,7.28,1
Demario Davis,Arkansas State,OLB,74,235,4.49,32,38.5,124,4.28,7.19,1
David DeCastro,Stanford,OG,77,316,5.32,34,29.5,98,4.56,7.3,1
Taylor Dever,Notre Dame,OT,77,298,5.4,18,28,100,4.9,7.49,0
Drake Dunsmore,Northwestern,FB,74,241,4.63,21,35.5,117,4.03,6.73,1
Michael Egnew,Missouri,TE,77,252,4.52,21,36,131,4.32,7.03,1
Bradie Ewing,Wisconsin,FB,73,239,4.73,14,36.5,120,4.16,7.14,1
Hebron Fangupo,BYU,DT,73,323,5.12,36,31.5,99,4.62,7.94,0
Antonio Fenelus,Wisconsin,CB,68,190,4.57,20,32,109,4.2,6.8,0
Darius Fleming,Notre Dame,OLB,74,245,4.71,27,33.5,114,4.28,7.03,1
Jamell Fleming,Oklahoma,CB,71,206,4.43,23,34,125,3.97,6.71,1
Marcus Forston,Miami,DT,73,301,5.05,35,28,105,4.79,7.64,0
Justin Francis,Rutgers,DE,74,268,4.9,23,32,109,4.35,7.05,0
Terrence Frederick,Texas A&M,CB,70,187,4.44,16,35,121,4.03,6.59,1
Chris Galippo,Southern California,ILB,74,241,4.73,19,29.5,107,4.1,6.9,0
Garth Gerhart,Arizona State,C,73,305,5.38,25,30.5,96,4.65,7.63,0
Stephon Gilmore,South Carolina,CB,73,190,4.38,15,36,123,3.94,6.61,1
Chris Givens,Wake Forest,WR,71,198,4.35,19,33.5,118,4.23,6.97,1
Cordy Glenn,Georgia,OT,78,345,5.08,31,23.5,93,5,8.13,1
T.J. Graham,North Carolina State,WR,71,188,4.34,8,33.5,120,4.18,6.77,0
Ladarius Green,Louisiana-Lafayette,TE,78,238,4.45,16,34.5,124,4.47,7.12,1
James Hanna,Oklahoma,TE,76,252,4.43,24,36,122,4.11,6.76,1
Cory Harkey,UCLA,TE,76,260,5.06,13,26.5,109,4.69,7.4,0
Cliff Harris,Oregon,CB,71,175,4.61,14,36,118,4.19,6.79,0
Casey Hayward,Vanderbilt,CB,71,192,4.47,19,34,119,3.9,6.76,1
Junior Hemingway,Michigan,WR,73,225,4.48,21,35.5,124,3.98,6.59,1
Dan Herron,Ohio State,RB,70,213,4.57,22,35,117,4.04,6.97,1
Akiem Hicks,Regina,DT,77,318,5.21,26,31.5,108,4.86,7.75,1
Stephen Hill,Georgia Tech,WR,76,215,4.28,14,39.5,133,4.48,6.88,1
Lamar Holmes,Southern Mississippi,OT,77,323,5.29,22,27,104,4.8,7.74,1
Jaye Howard,Florida,DT,75,301,4.78,24,27.5,106,4.47,7.32,1
Delano Howell,Stanford,SS,71,210,4.61,21,33,120,4.15,6.97,0
Emil Igwenagu,Massachusetts,FB,73,249,4.7,19,34.5,121,4.4,7.32,0
Duke Ihenacho,San Jose State,SS,73,213,4.67,20,35,122,4.22,6.78,0
George Iloka,Boise State,FS,76,225,4.6,20,34.5,124,4.03,7.03,1
Melvin Ingram,South Carolina,OLB,74,264,4.69,28,34.5,109,4.18,6.83,1
Bruce Irvin,West Virginia,OLB,75,245,4.41,23,33.5,123,4.03,6.7,1
Asa Jackson,Cal Poly,CB,70,191,4.48,19,34.5,118,4.03,6.97,1
Janzen Jackson,McNeese State,FS,73,188,4.6,9,36.5,125,4.15,6.9,0
Jerrell Jackson,Missouri,WR,73,196,4.5,22,41,127,4.11,6.82,0
Malik Jackson,Tennessee,DE,77,284,4.85,25,28,105,4.41,7.38,1
LaMichael James,Oregon,RB,68,194,4.35,15,35,123,4.12,6.88,1
Jordan Jefferson,LSU,QB,76,223,4.58,14,36.5,116,4.06,6.81,0
James-Michael Johnson,Nevada,ILB,73,241,4.6,23,37,124,4.37,7.34,1
Leonard Johnson,Iowa State,CB,70,196,4.62,15,32,120,4.15,6.96,0
Rishaw Johnson,California (PA),OG,75,313,5.12,22,31.5,108,4.53,7.87,0
Steven Johnson,Kansas,OLB,73,239,4.71,16,36,113,4.38,7.32,0
Trumaine Johnson,Montana,CB,74,204,4.5,19,35.5,122,4.15,7.2,1
Ben Jones,Georgia,C,75,303,5.35,29,30.5,105,4.74,7.95,1
Chandler Jones,Syracuse,DE,77,266,4.77,22,35,120,4.38,7.07,1
Jeremy Jones,Wayne State (MI),CB,70,197,4.56,20,31.5,116,4.18,7.14,0
Marcel Jones,Nebraska,OT,78,320,5.57,13,27.5,95,5.12,8.03,1
Marvin Jones,California,WR,74,199,4.46,22,33,112,4.11,6.81,1
Jermaine Kearse,Washington,WR,73,209,4.5,14,34,119,4.12,7.03,0
Senio Kelemete,Washington,OG,76,307,5.39,21,25,101,4.58,7.77,1
Luke Kuechly,Boston College,ILB,75,242,4.58,27,38,123,4.12,6.92,1
Markus Kuhn,North Carolina State,DT,77,299,4.87,28,34.5,112,4.41,7.43,1
Ronald Leary,Memphis,OG,75,315,5.23,30,29,104,4.91,7.87,0
Josh LeRibeus,Southern Methodist,OG,75,312,5.31,29,26,96,4.65,7.64,1
Ronnell Lewis,Oklahoma,OLB,74,253,4.65,36,31,112,4.4,7.09,1
Brandon Lindsey,Pittsburgh,OLB,74,254,4.85,23,33,117,4.28,7.36,0
Terrell Manning,North Carolina State,OLB,74,237,4.71,22,32.5,114,4.43,7.18,1
Brandon Marshall,Nevada,OLB,73,242,4.72,28,30.5,108,4.09,7.05,1
Doug Martin,Boise State,RB,69,223,4.46,28,36,120,4.16,6.79,1
Keshawn Martin,Michigan State,WR,73,188,4.42,13,39.5,122,4.13,6.85,1
Mike Martin,Michigan,DT,73,306,4.8,36,33.5,113,4.25,7.19,1
Jonathan Massaquoi,Troy,OLB,74,264,4.81,20,33.5,120,4.53,7.38,1
Bobby Massie,Mississippi,OT,78,316,5.18,22,27.5,103,4.95,7.7,1
Antoine McClain,Clemson,OG,78,329,5.48,19,27,91,4.82,8.13,0
Shea McClellin,Boise State,OLB,75,260,4.62,19,31.5,118,4.33,7.07,1
Kelcie McCray,Arkansas State,SS,74,202,4.48,12,30.5,122,4.29,7,0
Jerron McMillian,Maine,SS,71,203,4.47,17,36.5,120,4.22,6.69,1
Caleb McSurdy,Montana,ILB,73,245,4.82,26,30,110,4.28,7.26,1
Vaughn Meatoga,Hawaii,DT,73,294,4.93,27,30,108,4.21,7.1,0
Davin Meggett,Maryland,RB,68,211,4.5,23,35,118,4.32,7.14,0
Whitney Mercilus,Illinois,DE,76,261,4.68,27,32,118,4.53,7.17,1
Ryan Miller,Colorado,OG,79,321,5.16,32,28,100,4.78,7.72,1
Charles Mitchell,Mississippi State,SS,71,202,4.56,19,37,127,4.22,6.93,1
Kashif Moore,Connecticut,WR,69,180,4.36,19,43.5,126,4.05,6.82,0
Alfred Morris,Florida Atlantic,RB,70,219,4.63,16,35.5,117,4.19,7.01,1
Brandon Mosley,Auburn,OT,78,314,5.14,30,27,103,4.78,7.43,1
Josh Norman,Coastal Carolina,CB,73,197,4.61,14,33,124,4.23,7.09,1
Kelechi Osemele,Iowa State,OT,78,333,5.22,32,26.5,104,4.87,7.91,1
Chris Owusu,Stanford,WR,73,196,4.31,19,40.5,129,4.11,6.85,0
Eric Page,Toledo,WR,69,186,4.5,15,30,112,3.98,6.95,0
David Paulson,Oregon,TE,75,246,4.79,21,32,110,4.4,7.18,1
Nick Perry,Southern California,DE,75,271,4.55,35,38.5,124,4.66,7.25,1
Bernard Pierce,Temple,RB,73,218,4.45,17,36.5,123,4.28,7.07,1
Eddie Pleasant,Oregon,SS,70,211,4.53,22,33.5,116,4.28,7.12,0
Dontari Poe,Memphis,DT,76,346,4.89,44,29.5,105,4.56,7.9,1
Tauren Poole,Tennessee,RB,70,205,4.48,24,34,118,4.19,7.36,0
DeVier Posey,Ohio State,WR,74,211,4.39,14,36.5,123,4.15,7.03,1
Nate Potter,Boise State,OT,78,303,5.26,22,28.5,100,4.67,7.49,1
Chaz Powell,Penn State,CB,73,203,4.42,17,33,121,4.16,6.84,0
Tydreke Powell,North Carolina,DT,74,311,5.28,29,28.5,99,4.62,7.31,0
DeAndre Presley,Appalachian State (NC),CB,70,185,4.53,8,32,114,4.28,7.19,0
Cyhl Quarles,Wake Forest,SS,74,213,4.54,19,32.5,119,4.32,7.21,0
Brian Quick,Appalachian State (NC),WR,76,220,4.5,15,34,119,4.23,7.1,1
Chris Rainey,Florida,RB,68,180,4.36,16,36.5,120,3.93,6.5,1
Kheeston Randall,Texas,DT,77,293,5,28,34,111,4.84,7.49,1
Rueben Randle,LSU,WR,75,210,4.55,15,31,121,4.36,6.99,1
Riley Reiff,Iowa,OT,78,313,5.16,23,26.5,98,4.75,7.87,1
Kendall Reyes,Connecticut,DT,76,299,4.82,36,34.5,113,4.53,7.43,1
Sean Richardson,Vanderbilt,SS,75,216,4.43,22,38.5,128,4.44,7.01,0
Josh Robinson,Central Florida,CB,70,199,4.29,17,38.5,133,3.97,6.55,1
Evan Rodriguez,Temple,FB,74,239,4.53,18,36,119,4.28,6.94,1
Brett Roy,Nevada,DT,75,275,5,32,30.5,108,4.62,7.31,0
Zebrie Sanders,Florida State,OT,78,320,5.33,28,27,100,4.99,8.15,1
Mohamed Sanu,Rutgers,WR,74,211,4.62,19,36,126,4.22,6.88,1
Quentin Saulsberry,Mississippi State,C,74,304,5.28,26,22,90,4.99,8.19,0
Mitchell Schwartz,California,OT,77,318,5.38,23,26.5,89,4.87,7.86,1
Coty Sensabaugh,Clemson,CB,71,189,4.33,15,37,122,4.06,6.6,1
Derrick Shelby,Utah,DE,75,266,4.87,26,35.5,116,4.5,7.09,0
Amini Silatolu,Midwestern State,OG,76,311,5.33,28,31.5,107,4.87,7.95,1
Harrison Smith,Notre Dame,SS,74,213,4.54,19,34,122,4.12,6.63,1
Jacquies Smith,Missouri,DE,75,253,4.75,21,31.5,110,4.31,7.25,0
Scott Solomon,Rice,DE,75,262,4.88,34,35,124,4.25,7.17,1
Sean Spence,Miami,OLB,71,231,4.66,12,33.5,119,4.28,7.46,1
Ryan Steed,Furman,CB,71,195,4.64,12,34,121,4.22,6.94,0
Donald Stephenson,Oklahoma,OT,78,312,4.94,19,35.5,114,4.78,7.52,1
Nathan Stupar,Penn State,OLB,74,241,4.65,21,31,116,4.28,6.84,1
J.R. Sweezy,North Carolina State,DT,77,298,4.97,21,36,113,4.41,7.4,0
Darron Thomas,Oregon,QB,75,220,4.77,14,36,121,4.28,7.17,0
Johnny Thomas,Oklahoma State,SS,70,206,4.57,20,35.5,123,4.25,7.01,0
Brandon Thompson,Clemson,DT,74,314,5.2,35,31,100,4.71,7.97,1
Christian Thompson,South Carolina State,FS,73,211,4.42,18,31.5,122,4.13,7.33,1
Andrew Tiller,Syracuse,OG,76,324,5.44,16,23,85,4.8,7.92,1
Christian Tupou,Southern California,DT,74,289,5.38,30,24,92,4.87,8.07,0
Robert Turbin,Utah State,RB,70,222,4.42,28,36,122,4.31,7.16,1
Olivier Vernon,Miami,DE,74,261,4.73,31,34.5,122,4.5,7.39,1
Trevin Wade,Arizona,CB,70,192,4.52,18,34.5,116,4,6.87,1
Dustin Waldron,Portland State (OR),OT,77,305,5.23,29,26,103,4.75,7.93,0
